GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,38,15,0,100.00,0.01,24801,621,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,31,14,0,100.00,0.02,25174,572,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,34,13,0,100.00,0.02,26570,580,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,34,14,0,100.00,0.02,27499,604,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,28,11,0,100.00,0.02,28817,531,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,29,13,0,100.00,0.02,28773,519,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,30,10,0,100.00,0.02,29309,548,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,34,14,0,100.00,0.02,32043,585,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,36,14,0,100.00,0.01,17295,616,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,33,13,0,100.00,0.02,18127,580,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,149,7,0,100.00,0.07,3747287,631,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,157,8,0,100.00,0.06,3991210,725,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,149,7,0,100.00,0.07,4022175,622,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,175,9,0,100.00,0.05,4114945,926,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,146,7,0,100.00,0.07,4197060,590,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,164,9,0,100.00,0.06,4307833,795,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,152,7,0,100.00,0.06,4396212,651,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,152,8,0,100.00,0.06,4742467,673,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,162,8,0,100.00,0.06,1816153,783,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,168,9,0,100.00,0.06,1862728,842,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,155,7,0,100.00,0.03,3921617,1574,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,153,8,0,100.00,0.03,4289158,1572,Max. coverage
