GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,34,14,0,100.00,0.01,32948,612,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,8,35,6,0,100.00,0.01,33199,677,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,34,13,0,100.00,0.02,8598,597,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,32,13,0,100.00,0.02,14775,615,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,10,1,1,0,3.60,0.47,5400719,0,Timeout
Springs,EDF,Uniform,Hard,2000,20000,0.01,10,1,1,0,3.53,0.47,5400914,0,Timeout
Springs,EDF,Uniform,Hard,2000,20000,0.01,10,1,1,0,3.64,0.49,5401162,0,Timeout
Springs,EDF,Uniform,Hard,2000,20000,0.01,10,1,1,0,3.49,0.47,5401338,0,Timeout
Springs,EDF,Uniform,Hard,2000,20000,0.01,10,1,1,0,3.63,0.48,5401706,0,Timeout
Springs,EDF,Uniform,Hard,2000,20000,0.01,10,1,1,0,3.71,0.49,5401903,0,Timeout
Springs,EDF,Uniform,Hard,2000,20000,0.01,10,1,1,0,3.55,0.46,5402349,0,Timeout
Springs,EDF,Uniform,Hard,2000,20000,0.01,10,1,1,0,3.58,0.47,5402350,0,Timeout
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,148,7,0,100.00,0.07,5201005,1770,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,109,6,0,96.08,0.09,5400495,1336,Timeout
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,139,7,0,100.00,0.04,5064196,1777,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,152,7,0,100.00,0.03,5264584,1925,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,150,7,0,100.00,0.03,5271641,1876,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,143,7,0,100.00,0.03,5291445,1818,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,86,5,0,88.63,0.05,5400050,1117,Timeout
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,137,6,0,99.64,0.04,5400048,1738,Timeout
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,102,7,0,94.88,0.05,5400121,1318,Timeout
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,130,7,0,99.20,0.04,5400147,1656,Timeout
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,151,7,0,100.00,0.03,2512495,1912,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,148,7,0,100.00,0.03,2859596,1872,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,9,131,15,0,100.00,0.02,2552154,1830,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,154,6,0,100.00,0.02,2769351,2129,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,140,7,0,100.00,0.02,2802658,1951,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,175,8,0,100.00,0.01,2870473,2330,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,157,9,0,100.00,0.02,2915772,2147,Max. coverage
